cluster_name,cluster_type,mean_parallax,mean_pmra,mean_pmdec,dispersion_pmra,dispersion_pmdec,dispersion_rv,dispersion_3d_kms,orbital_energy,orbital_Lz,eccentricity,galactic_x,galactic_y,galactic_z,galactic_r,predicted_type,predicted_type_label,subcategory,subcategory_id
b'47Tuc',Globular,0.21103448412171952,5.2535408989140215,-2.5722687014598407,0.3985005056175217,0.3961702532112828,9.898857,16.039977105741915,-156509.78204958452,-1199.0125904569763,0.1651183886903937,-6.162260005389652,-2.7194733050271656,-3.328522154104655,7.51319127675755,1,Globular,Inner Halo,2.0
b'Hyades',Open,21.4104998669822,107.21906499689099,-24.820727587567813,7.590903654470546,6.804153524862189,3.067119,3.8079483206864437,-156085.66816861738,-1849.2789402841288,0.09534543485630424,-8.16519655426717,0.0001364908531393656,0.0031027397962778806,8.165197144921883,0,Open,Young Disk,0.0
b'M13',Globular,0.12042281625082944,-3.124260808681928,-2.555498949594264,0.19285911180721155,0.22250679539354298,11.4238825,16.273800425923525,-146385.51466416553,298.81112105891236,0.7783155819221311,-4.877135935205557,5.379731021237151,5.45100923128703,9.079728103358114,1,Globular,Disk/Bulge,0.0
b'M15',Globular,0.10448756451712181,-0.5732587506946177,-3.8379270174930635,0.28418522211474945,0.27064307715239805,34.826202,39.11267908487626,-142923.75168482162,-1011.1988516805177,0.48964376986693026,-4.540288245444881,7.708268684875902,-4.377940607895808,9.959818644745823,1,Globular,Outer Halo,1.0
b'M3',Globular,0.12286476019305692,-0.14729599745439434,-2.6866218534871473,0.13542133679628315,0.12930879847423568,6.834511,9.944409439687224,-138373.46122040204,-1037.1311818586419,0.4430542584097428,-6.920620772755067,1.0706426333445214,7.999163850168496,10.631457559077509,1,Globular,Inner Halo,2.0
b'M67',Open,1.1644250975986965,-10.953582947571238,-2.916423580456505,0.22574470304330488,0.22621773914317067,4.8990445,5.0688321500075775,-152192.5796702616,-1942.2605290016966,0.07970149898702678,-8.712921030722226,-0.42516672144925177,0.4763648716996432,8.736285430296963,0,Open,Young Disk,0.0
b'NGC 188',Open,0.5294323418642604,-2.2908216881566794,-0.9759050866128948,0.26048790066827837,0.26497861343934576,7.249588,7.976431929436758,-149194.44395758602,-2136.465997875766,0.049470283233021196,-9.06736207696038,1.467376678014914,0.7423745054037519,9.215279119818065,0,Open,Young Disk,0.0
b'NGC 6791',Open,0.2357870928543479,-0.43496000869663637,-2.287470159384755,0.162379882377484,0.13358354291917954,23.961851,24.331818978702834,-157755.16600012485,-1406.0738484440712,0.2808431662440379,-6.692728525563823,3.9123332623922,0.8195225615397383,7.79554898014173,0,Open,Old Disk,1.0
b'NGC 752',Open,2.2641237865872443,9.849965126521845,-11.795146582073626,0.536936345851488,0.4603655395239129,9.545446,9.659607130375429,-154380.2859919149,-1885.5817247393347,0.0455627127124243,-8.416575227586339,0.27893700235145913,-0.15377954031316393,8.422600106850602,0,Open,Young Disk,0.0
b'OmegaCen',Globular,0.1879117159824725,-3.2370123955486703,-6.512818629181873,0.40355671541307375,0.3419567597850375,17.700739,22.16625330261507,-166474.65934980218,507.23106975491214,0.6444217562186799,-4.877993384060732,-3.9913403780224304,1.3867183254834603,6.453573055478969,1,Globular,Disk/Bulge,0.0
b'Pleiades',Open,7.365668717156025,19.84221474930816,-45.36777669290671,0.8754076362493476,1.1328326355403502,17.91556,17.939233469252198,-155574.01810406728,-1790.0259451099207,0.06820966143617099,-8.243132864235404,0.028952788576174178,-0.033183764061309004,8.243250502295886,0,Open,Middle-Aged Disk,2.0
b'Praesepe',Open,5.41032372703627,-35.91106229757536,-12.90109999367968,0.9540118491999849,0.8226359565920394,12.912503,12.959581516084597,-155416.02431705166,-1867.1885732205087,0.08808113348875059,-8.262102765046334,-0.06814451131207168,0.12021267575287527,8.263258247327135,0,Open,Middle-Aged Disk,2.0
